18:25:41 - Time: 1752510341.192, current_contact_force: 0.0
18:25:41 - Time: 1752510341.244, current_contact_force: 0.0
18:25:41 - Time: 1752510341.249, current_contact_force: 0.0
18:25:41 - Time: 1752510341.253, current_contact_force: 0.0
18:25:41 - Time: 1752510341.256, current_contact_force: 0.0
18:25:41 - Time: 1752510341.259, current_contact_force: 0.0
18:25:41 - Time: 1752510341.262, current_contact_force: 0.0
18:25:41 - Time: 1752510341.265, current_contact_force: 0.0
18:25:41 - Time: 1752510341.268, current_contact_force: 0.0
18:25:41 - Time: 1752510341.272, current_contact_force: 0.0
18:25:41 - Time: 1752510341.274, current_contact_force: 0.0
18:25:41 - Time: 1752510341.276, current_contact_force: 0.0
18:25:41 - Time: 1752510341.279, current_contact_force: 0.0
18:25:41 - Time: 1752510341.282, current_contact_force: 0.0
18:25:41 - Time: 1752510341.285, current_contact_force: 0.0
18:25:41 - Time: 1752510341.294, current_contact_force: 0.0
18:25:41 - Time: 1752510341.297, current_contact_force: 0.0
18:25:41 - Time: 1752510341.302, current_contact_force: 0.0
18:25:41 - Time: 1752510341.306, current_contact_force: 0.0
18:25:41 - Time: 1752510341.310, current_contact_force: 0.0
18:25:41 - Time: 1752510341.314, current_contact_force: 0.0
18:25:41 - Time: 1752510341.316, current_contact_force: 0.0
18:25:41 - Time: 1752510341.319, current_contact_force: 0.0
18:25:41 - Time: 1752510341.324, current_contact_force: 0.0
18:25:41 - Time: 1752510341.329, current_contact_force: 0.0
18:25:41 - Time: 1752510341.331, current_contact_force: 0.0
18:25:41 - Time: 1752510341.333, current_contact_force: 0.0
18:25:41 - Time: 1752510341.335, current_contact_force: 0.0
18:25:41 - Time: 1752510341.337, current_contact_force: 0.0
18:25:41 - Time: 1752510341.339, current_contact_force: 0.0
18:25:41 - Time: 1752510341.342, current_contact_force: 0.0
18:25:41 - Time: 1752510341.345, current_contact_force: 0.0
18:25:41 - Time: 1752510341.347, current_contact_force: 0.0
18:25:41 - Time: 1752510341.350, current_contact_force: 0.0
18:25:41 - Time: 1752510341.354, current_contact_force: 0.0
18:25:41 - Time: 1752510341.357, current_contact_force: 0.0
18:25:41 - Time: 1752510341.362, current_contact_force: 0.0
18:25:41 - Time: 1752510341.369, current_contact_force: 0.0
18:25:41 - Time: 1752510341.376, current_contact_force: 0.0
18:25:41 - Time: 1752510341.379, current_contact_force: 0.0
18:25:41 - Time: 1752510341.384, current_contact_force: 0.0
18:25:41 - Time: 1752510341.390, current_contact_force: 0.0
18:25:41 - Time: 1752510341.394, current_contact_force: 0.0
18:25:41 - Time: 1752510341.397, current_contact_force: 0.0
18:25:41 - Time: 1752510341.407, current_contact_force: 0.0
18:25:41 - Time: 1752510341.410, current_contact_force: 0.0
18:25:41 - Time: 1752510341.414, current_contact_force: 0.0
18:25:41 - Time: 1752510341.417, current_contact_force: 0.0
18:25:41 - Time: 1752510341.419, current_contact_force: 0.0
18:25:41 - Time: 1752510341.424, current_contact_force: 0.0
18:25:41 - Time: 1752510341.427, current_contact_force: 0.0
18:25:41 - Time: 1752510341.431, current_contact_force: 0.0
18:25:41 - Time: 1752510341.435, current_contact_force: 0.0
18:25:41 - Time: 1752510341.440, current_contact_force: 0.0
18:25:41 - Time: 1752510341.445, current_contact_force: 0.0
18:25:41 - Time: 1752510341.449, current_contact_force: 0.0
18:25:41 - Time: 1752510341.453, current_contact_force: 0.0
18:25:41 - Time: 1752510341.457, current_contact_force: 0.0
18:25:41 - Time: 1752510341.462, current_contact_force: 0.0
18:25:41 - Time: 1752510341.469, current_contact_force: 0.0
18:25:41 - Time: 1752510341.471, current_contact_force: 0.0
18:25:41 - Time: 1752510341.474, current_contact_force: 0.0
18:25:41 - Time: 1752510341.481, current_contact_force: 0.0
18:25:41 - Time: 1752510341.489, current_contact_force: 0.0
18:25:41 - Time: 1752510341.493, current_contact_force: 0.0
18:25:41 - Time: 1752510341.496, current_contact_force: 0.0
18:25:41 - Time: 1752510341.500, current_contact_force: 0.0
18:25:41 - Time: 1752510341.504, current_contact_force: 0.0
18:25:41 - Time: 1752510341.509, current_contact_force: 0.0
18:25:41 - Time: 1752510341.511, current_contact_force: 0.0
18:25:41 - Time: 1752510341.514, current_contact_force: 0.0
18:25:41 - Time: 1752510341.517, current_contact_force: 0.0
18:25:41 - Time: 1752510341.523, current_contact_force: 0.0
18:25:41 - Time: 1752510341.525, current_contact_force: 0.0
18:25:41 - Time: 1752510341.528, current_contact_force: 0.0
18:25:41 - Time: 1752510341.532, current_contact_force: 0.0
18:25:41 - Time: 1752510341.539, current_contact_force: 0.0
18:25:41 - Time: 1752510341.543, current_contact_force: 0.0
18:25:41 - Time: 1752510341.545, current_contact_force: 0.0
18:25:41 - Time: 1752510341.547, current_contact_force: 0.0
18:25:41 - Time: 1752510341.551, current_contact_force: 0.0
18:25:41 - Time: 1752510341.555, current_contact_force: 0.0
18:25:41 - Time: 1752510341.563, current_contact_force: 0.0
18:25:41 - Time: 1752510341.566, current_contact_force: 0.0
18:25:41 - Time: 1752510341.570, current_contact_force: 0.0
18:25:41 - Time: 1752510341.574, current_contact_force: 0.0
18:25:41 - Time: 1752510341.577, current_contact_force: 0.0
18:25:41 - Time: 1752510341.582, current_contact_force: 0.0
18:25:41 - Time: 1752510341.587, current_contact_force: 0.0
18:25:41 - Time: 1752510341.591, current_contact_force: 0.0
18:25:41 - Time: 1752510341.594, current_contact_force: 0.0
18:25:41 - Time: 1752510341.603, current_contact_force: 0.0
18:25:41 - Time: 1752510341.609, current_contact_force: 0.0
18:25:41 - Time: 1752510341.611, current_contact_force: 0.0
18:25:41 - Time: 1752510341.613, current_contact_force: 0.0
18:25:41 - Time: 1752510341.617, current_contact_force: 0.0
18:25:41 - Time: 1752510341.619, current_contact_force: 0.0
18:25:41 - Time: 1752510341.628, current_contact_force: 0.0
18:25:41 - Time: 1752510341.631, current_contact_force: 0.0
18:25:41 - Time: 1752510341.635, current_contact_force: 0.0
18:25:41 - Time: 1752510341.639, current_contact_force: 0.0
18:25:41 - Time: 1752510341.644, current_contact_force: 0.0
18:25:41 - Time: 1752510341.647, current_contact_force: 0.0
18:25:41 - Time: 1752510341.654, current_contact_force: 0.0
18:25:41 - Time: 1752510341.656, current_contact_force: 0.0
18:25:41 - Time: 1752510341.661, current_contact_force: 0.0
18:25:41 - Time: 1752510341.667, current_contact_force: 0.0
18:25:41 - Time: 1752510341.672, current_contact_force: 0.0
18:25:41 - Time: 1752510341.674, current_contact_force: 0.0
18:25:41 - Time: 1752510341.679, current_contact_force: 0.0
18:25:41 - Time: 1752510341.684, current_contact_force: 0.0
18:25:41 - Time: 1752510341.692, current_contact_force: 0.0
18:25:41 - Time: 1752510341.694, current_contact_force: 0.0
18:25:41 - Time: 1752510341.696, current_contact_force: 0.0
18:25:41 - Time: 1752510341.698, current_contact_force: 0.0
18:25:41 - Time: 1752510341.703, current_contact_force: 0.0
18:25:41 - Time: 1752510341.707, current_contact_force: 0.0
18:25:41 - Time: 1752510341.715, current_contact_force: 0.0
18:25:41 - Time: 1752510341.719, current_contact_force: 0.0
18:25:41 - Time: 1752510341.726, current_contact_force: 0.0
18:25:41 - Time: 1752510341.732, current_contact_force: 0.0
18:25:41 - Time: 1752510341.735, current_contact_force: 0.0
18:25:41 - Time: 1752510341.739, current_contact_force: 0.0
18:25:41 - Time: 1752510341.745, current_contact_force: 0.0
18:25:41 - Time: 1752510341.749, current_contact_force: 0.0
18:25:41 - Time: 1752510341.751, current_contact_force: 0.0
18:25:41 - Time: 1752510341.753, current_contact_force: 0.0
18:25:41 - Time: 1752510341.758, current_contact_force: 0.0
18:25:41 - Time: 1752510341.762, current_contact_force: 0.0
18:25:41 - Time: 1752510341.767, current_contact_force: 0.0
18:25:41 - Time: 1752510341.772, current_contact_force: 0.0
18:25:41 - Time: 1752510341.777, current_contact_force: 0.0
18:25:41 - Time: 1752510341.781, current_contact_force: 0.0
18:25:41 - Time: 1752510341.785, current_contact_force: 0.0
18:25:41 - Time: 1752510341.792, current_contact_force: 0.0
18:25:41 - Time: 1752510341.800, current_contact_force: 0.0
18:25:41 - Time: 1752510341.804, current_contact_force: 0.0
18:25:41 - Time: 1752510341.812, current_contact_force: 0.0
18:25:41 - Time: 1752510341.815, current_contact_force: 0.0
18:25:41 - Time: 1752510341.818, current_contact_force: 0.0
18:25:41 - Time: 1752510341.821, current_contact_force: 0.0
18:25:41 - Time: 1752510341.825, current_contact_force: 0.0
18:25:41 - Time: 1752510341.829, current_contact_force: 0.0
