t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000000000000000e+00,-1.505597324248081126e+00,-4.893154957337276789e-01,2.568562360045942849e+00,2.569695024001108941e+00,-1.505597324248081126e+00,-4.833319102168497361e-01,1.312477947537558753e+00,-1.209474370676499655e+00,-1.062951417864275716e-01,3.579223360241336194e-03,3.699824464583689547e-04,4.835403336837236325e-04,2.519264379159783006e-04,1.088383689859161391e-03,-1.065371008826894389e-06,-6.408115424115666450e-04,4.411507990739230500e+00,-7.665216833350505521e-01,6.761518700734618470e+00,4.389359320340605053e-02,-1.300384055555642959e+00,4.495839627532054184e-02,-1.820509520047642216e+00,1.247447226041442474e-02,5.288766591899549674e+00,4.580357639622137378e-01,-2.706860442900604014e+00,-4.229932486686905496e-02,-9.941282732128260413e-01,3.872110447564801610e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-9.491709423085143982e-01,-1.000000000000000000e+00
1.000000000000000021e-03,-1.503485297754272088e+00,-4.855888280685427549e-01,2.571438629510065521e+00,2.572538814246855932e+00,-1.503485297754272088e+00,-4.797261557127830423e-01,1.311709692266014970e+00,-1.210229443014245954e+00,-1.045662698434104143e-01,-1.746540312694918468e-02,-1.805286961150817920e-03,-2.359544022742572460e-03,-1.229323468442401453e-03,-5.310957615660036671e-03,5.199444567220727601e-06,3.126951772097229243e-03,4.344551215197425265e+00,-7.680951345459611224e-01,6.687079701519101249e+00,5.586659497173881994e-02,-1.290937048028780509e+00,4.554093766753987416e-02,-1.820294457319932002e+00,1.222793396601676470e-02,5.297081515755207803e+00,4.584372847596709377e-01,-2.711111994770323275e+00,-4.232627203162733776e-02,-9.956860235047726437e-01,-3.878187884572703137e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-9.501398863926655558e-01,-1.000000000000000000e+00
2.000000000000000042e-03,-1.500951795703738156e+00,-4.822415223767004822e-01,2.578241827554367482e+00,2.579334513277417251e+00,-1.500951795703738156e+00,-4.763625466711591816e-01,1.311105816343072439e+00,-1.212557484245352146e+00,-1.030134944778072770e-01,-1.741334612000157434e-02,-1.799906460531591149e-03,-2.352510615724837800e-03,-1.225660878746022073e-03,-5.295127742552671428e-03,5.184282048869357939e-06,3.117631605701977771e-03,4.403369183437781942e+00,-7.628185621973814223e-01,6.739169245277903286e+00,4.598114907559344711e-02,-1.300410333978144317e+00,4.479291745000105185e-02,-1.815590056615059567e+00,1.220827178445159193e-02,5.287840090496313650e+00,4.576395232903996413e-01,-2.706382204746209386e+00,-4.225262523124431735e-02,-9.939489862460600955e-01,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-1.347958086951941192e+00,-9.491508845140101958e-01,-1.812472425009357568e+00
3.000000000000000062e-03,-1.499241140524530724e+00,-4.791454618429643597e-01,2.585612753069600700e+00,2.586707284582001165e+00,-1.499241140524530724e+00,-4.732009153956467928e-01,1.310427518538559211e+00,-1.215255689610575285e+00,-1.015881885824408415e-01,-2.115024969460453652e-02,-2.186198493824072220e-03,-2.857359110352970973e-03,-1.488677786968794700e-03,-6.431441800495809810e-03,6.296151650613145668e-06,3.786662627342180908e-03,4.467276064556165771e+00,-7.545053798954710622e-01,6.797886741007909350e+00,2.253604533943134869e-02,-1.310064243404585049e+00,4.645467930125568579e-02,-1.810807343303947325e+00,1.228752108417885923e-02,5.278496944717287143e+00,4.569505587397912350e-01,-2.701591661716157944e+00,-4.219289453665105855e-02,-9.921915033471730982e-01,3.864588430337619216e-17,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,-2.680544294163695440e+00,-1.358688579741731850e+00,-9.457305278942668147e-01,-1.807020680676605151e+00
4.000000000000000083e-03,-1.500182125683648282e+00,-4.748377718653160606e-01,2.594258500930985090e+00,2.595331199613807982e+00,-1.500182125683648282e+00,-4.689392749107860192e-01,1.309303297557090850e+00,-1.218928963486265671e+00,-9.961588916286545636e-02,-1.933336586110158406e-02,-1.998321334051193776e-03,-2.611929686467407905e-03,-1.360809211933877499e-03,-5.878974578824962272e-03,5.757131310309990954e-06,3.461385550831401307e-03,4.460865500658274030e+00,-7.583358561784608876e-01,6.784370658992850522e+00,3.824744744740160574e-02,-1.310475549341584944e+00,4.667283642284890399e-02,-1.809464071536253993e+00,1.216798291813523010e-02,5.285557648295811539e+00,4.573966924944789514e-01,-2.705208021466338320e+00,-4.222854487178902966e-02,-9.935173765411524638e-01,4.010491174919535719e-17,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,-2.668321383230870758e+00,-1.358583068792198922e+00,-9.468387829869931993e-01,-1.806002685985422573e+00
5.000000000000000104e-03,-1.502011378398365737e+00,-4.714373088617037633e-01,2.606491171497679282e+00,2.607565009412767143e+00,-1.502011378398365737e+00,-4.654611530174208034e-01,1.308268036428540615e+00,-1.224262245275720806e+00,-9.809252275270262389e-02,-3.330861427605506103e-02,-3.442881249793213957e-03,-4.499906763005866520e-03,-2.344450222772219601e-03,-1.012858333099327275e-02,9.915791712499632128e-06,5.963441042710799188e-03,4.523036963280713252e+00,-7.670791794266704766e-01,6.837905019163009968e+00,6.365194730816323143e-02,-1.319234254200514656e+00,4.759526942600048049e-02,-1.802220043706325603e+00,1.229064529958165397e-02,5.294296174835031010e+00,4.582721274451075910e-01,-2.709675629162809685e+00,-4.231345946105788403e-02,-9.951595180784149619e-01,0.000000000000000000e+00,4.502018994304240351e+00,4.523774114158567450e+00,5.000000000000000000e+00,-2.648368132077418835e+00,-1.371676296992565769e+00,-9.475543328607020088e-01,-1.796256602663614865e+00
6.000000000000000125e-03,-1.502942281674505498e+00,-4.692498364594594462e-01,2.612668040951299897e+00,2.613738888728251553e+00,-1.502942281674505498e+00,-4.632480143240095272e-01,1.307295390139767033e+00,-1.226937581474216277e+00,-9.712624372876652035e-02,-3.322549533743054950e-02,-3.434450035466919248e-03,-4.488542239193303932e-03,-2.338593171351828048e-03,-1.010329176490895944e-02,9.890123118008181257e-06,5.948551060799550129e-03,4.546257991981121904e+00,-7.350023201082425128e-01,6.862693126376783859e+00,-1.241992275135797574e-02,-1.322669147222313768e+00,4.112001903218633070e-02,-1.801603265627480743e+00,1.221531587621045578e-02,5.251748987740272767e+00,4.546294614550652757e-01,-2.687939264900730763e+00,-4.197787142907773161e-02,-9.871694326300407551e-01,0.000000000000000000e+00,4.525247812519902268e+00,4.513312217596562981e+00,6.000000000000000000e+00,-2.702697780823440699e+00,-1.374750310416300358e+00,-9.460395234747364102e-01,-1.795654714566681243e+00
7.000000000000000146e-03,-1.503912199212761536e+00,-4.687343376280226348e-01,2.605549105113353914e+00,2.606620333949466239e+00,-1.503912199212761536e+00,-4.627401571830045413e-01,1.306558072793130965e+00,-1.224088231887428657e+00,-9.694606726864384016e-02,-2.667455746785735160e-02,-2.757316306981605607e-03,-3.603639528788256299e-03,-1.877502082481474852e-03,-8.111279113698275506e-03,7.939480710036485601e-06,4.775706594871116997e-03,4.571543365906502565e+00,-7.589200937728459717e-01,6.887983426139680176e+00,3.941839926396073501e-02,-1.324616617752876868e+00,4.713040474264422464e-02,-1.798559581969586318e+00,1.230517634194457956e-02,5.282694579108857980e+00,4.573354671445072350e-01,-2.703759936935335784e+00,-4.222886007593755486e-02,-9.929835643880787766e-01,3.867644265954471471e-17,4.557173984780589215e+00,4.521017169029030391e+00,7.000000000000000000e+00,-2.666219039753856546e+00,-1.374956756942512737e+00,-9.458452201647246094e-01,-1.793783875374715286e+00
8.000000000000000167e-03,-1.503799345964959455e+00,-4.700638360755740042e-01,2.597168407876820684e+00,2.598247696675894503e+00,-1.503799345964959455e+00,-4.640610472533891473e-01,1.306425732012299834e+00,-1.220622692568472223e+00,-9.762534282687697351e-02,-8.038191285294248381e-03,-8.308837453009736401e-04,-1.085954360490588204e-03,-5.657803422097287555e-04,-2.444281830605313233e-03,2.394062776619276531e-06,1.439128615456917223e-03,4.616296172916962703e+00,-7.708742990707770915e-01,6.922916416899450809e+00,7.459843327426168846e-02,-1.334494912274889700e+00,4.850693555942686697e-02,-1.796396800011446970e+00,1.239399935499739883e-02,5.296115447669873078e+00,4.585591687684102413e-01,-2.710603145460365848e+00,-4.234366099878490719e-02,-9.955034183355090383e-01,-3.734128453401788172e-17,4.620651980986665741e+00,4.524410264853795383e+00,7.380389631307370024e+00,-2.636570492528313991e+00,-1.379282855104279948e+00,-9.469940887133055929e-01,-1.794957671395990051e+00
9.000000000000001055e-03,-1.499772552447276031e+00,-4.711740458953379007e-01,2.595185128673197728e+00,2.596271833806126139e+00,-1.499772552447276031e+00,-4.651487918901657803e-01,1.306364419913633945e+00,-1.219237057340623931e+00,-9.818081718175548922e-02,-7.172372260468844185e-02,-7.414016583097122505e-03,-9.689747466612018412e-03,-5.048105868308760610e-03,-2.180983180176014613e-02,2.131415761309434198e-05,1.284104074688416537e-02,4.664904809595940449e+00,-7.725428368820472791e-01,6.962760079560906590e+00,8.074157147959207248e-02,-1.334968595364121935e+00,4.986208178392653734e-02,-1.781287099911286198e+00,1.245184177633994714e-02,5.296948510367738727e+00,4.586984421835524350e-01,-2.711019080063028053e+00,-4.236046070554221749e-02,-9.956547848184617022e-01,-1.440312822559925157e-18,4.605632928767591672e+00,4.516991656902594521e+00,7.411768774277846639e+00,-2.635325614451744514e+00,-1.399138887871424153e+00,-9.457713888769221366e-01,-1.768446059164402007e+00
