t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000000000000000e+00,-1.330319067807296696e+00,3.309303788748832464e-01,6.169701090555691492e-01,6.162140913559458477e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.526568062205047427e-02,3.629543723811701813e-03,4.714903531129925954e-03,2.475762556481178687e-03,1.070261510602702956e-02,-1.049095273204296158e-05,-6.300824217925157962e-03,-3.438422720270994937e-01,-8.887710647196246372e-01,2.694775689040400657e+00,5.973323200969271607e-03,-5.592987275743095399e-01,6.214386970946494948e-02,-2.309817289564113363e+00,1.147186105622606360e-02,4.969618401753905346e+00,4.272391289628563738e-01,-2.546506848195250416e+00,-3.930223713086027776e-02,-9.340264771327282389e-01,0.000000000000000000e+00,-2.971047303488229541e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.878983495991427777e-01,-8.718930983759953790e-01,-1.000000000000000000e+00
1.000000000000000021e-03,-1.335804834609777725e+00,3.313546879562488390e-01,6.208406401265370578e-01,6.200788095471175820e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.290887543959119893e-02,2.357815575218861343e-03,3.062866700814441227e-03,1.608287292208966136e-03,6.952537210322553597e-03,-6.815387142829447855e-06,-4.093086191338872817e-03,-3.237160946708605991e-01,-8.843519787986154901e-01,2.715134838648656235e+00,-4.292087619878343085e-03,-5.621672811320219676e-01,6.071168641081456374e-02,-2.308849349555305519e+00,1.152680104916142811e-02,4.961783662755888891e+00,4.266527691059956995e-01,-2.542494701442127525e+00,-3.925110331926701807e-02,-9.325576974293311450e-01,1.333089056419116463e-18,-2.892804181821079790e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.944658472409665162e-01,-8.718528264056594201e-01,-1.000000000000000000e+00
2.000000000000000042e-03,-1.342097106504523074e+00,3.294216630824073344e-01,6.227254069358696409e-01,6.219799340646652297e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.196786696931843058e-02,4.319251365148108444e-03,5.610721058161603075e-03,2.946288536238971661e-03,1.273660982075592966e-02,-1.248754682225204238e-05,-7.498275769658328815e-03,-3.493606232427168834e-01,-8.677648871804916064e-01,2.686293230236355800e+00,-4.009854448318467268e-02,-5.607965973633011192e-01,5.801242786266699869e-02,-2.311444816480538567e+00,1.130536626799613815e-02,4.944181681937207529e+00,4.249186489494361507e-01,-2.533515374976204715e+00,-3.908377583094686802e-02,-9.292513818662027081e-01,0.000000000000000000e+00,-2.960873900054022956e-01,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-5.871437633734920558e-01,-8.712514415503579412e-01,-2.000000000000000000e+00
3.000000000000000062e-03,-1.349487603212228048e+00,3.244100554334948261e-01,6.157333354684663140e-01,6.149994780885567058e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.289075279857313044e-02,5.443410909919634520e-03,7.070979738034816227e-03,3.713096917079355963e-03,1.605153185619887651e-02,-1.573464024787788281e-05,-9.449830825456743966e-03,-3.189657967528392035e-01,-8.697660756911903546e-01,2.716030070794936080e+00,-3.647624338386001863e-02,-5.643821872953644903e-01,5.851057532937736783e-02,-2.308693848918245806e+00,1.130317442821168229e-02,4.945110236225544575e+00,4.249925088212688773e-01,-2.533995383552000380e+00,-3.909046230282589574e-02,-9.294263396158436441e-01,-1.307216439478511136e-18,-2.547718695260544064e-01,3.000000000000000000e+00,3.000000000000000000e+00,-2.566758530018780959e+00,-5.874211177419914609e-01,-8.709314989267140650e-01,-2.318143679743702723e+00
4.000000000000000083e-03,-1.356856279563745771e+00,3.179096438034182959e-01,6.041918807562294269e-01,6.034703418344170567e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.815032955121319180e-02,4.955607860996461521e-03,6.437506058963481624e-03,3.380350696297012951e-03,1.461299756009095015e-02,-1.432742364925838820e-05,-8.602941845325730655e-03,-3.029779369992113836e-01,-8.838280683446199104e-01,2.733158321770631005e+00,-3.736924868558533230e-03,-5.658150300633610907e-01,6.022306066639374067e-02,-2.307429762612910551e+00,1.137494683383927577e-02,4.960095872124719918e+00,4.263329279626204005e-01,-2.541652515094036779e+00,-3.921567728445248674e-02,-9.322424304396775829e-01,0.000000000000000000e+00,-2.434526606141589333e-01,4.000000000000000000e+00,3.165928755792215110e+00,-2.542009089266298538e+00,-5.904177097877226776e-01,-8.720336971969331330e-01,-2.316032704458236502e+00
5.000000000000000104e-03,-1.361966930827317457e+00,3.121229134808782835e-01,5.939577252536374363e-01,5.932474328320532786e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.795173259083234829e-02,2.876782120037051083e-03,3.737031495453870672e-03,1.962346380951026162e-03,8.482991816300095717e-03,-8.321303407208877932e-06,-4.994094421858550834e-03,-2.802888461935144626e-01,-8.798935030523974410e-01,2.749231738678585835e+00,-6.176074253163466032e-03,-5.710607037948658427e-01,5.804242160133468720e-02,-2.305659456313186251e+00,1.138967525682516545e-02,4.953361302690139745e+00,4.257885851229482599e-01,-2.538196725375718277e+00,-3.916647062211996155e-02,-9.309771240602042752e-01,0.000000000000000000e+00,-2.409474383458569680e-01,4.076344581757779473e+00,3.178757355296987885e+00,-2.542410453247931024e+00,-6.017441826006857397e-01,-8.729430237622768374e-01,-2.310653550735044970e+00
6.000000000000000125e-03,-1.364139146759535182e+00,3.083474703214691970e-01,5.851876065302649144e-01,5.844852292020458195e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.257279716015881517e-02,1.293989857760192031e-03,1.680974112466197172e-03,8.826758305525643066e-04,3.815682015440996500e-03,-3.744174112534630451e-06,-2.246362672863735661e-03,-2.476995854063894775e-01,-8.832392739665207992e-01,2.776407368529644870e+00,6.055375305884513892e-04,-5.743088883753457718e-01,6.086812158998983202e-02,-2.299749136608336464e+00,1.141606115186589131e-02,4.960033853662737080e+00,4.263804729831322526e-01,-2.541594472407085803e+00,-3.922141066078949773e-02,-9.322268729352984895e-01,3.630374332490249675e-17,-2.237107270943647641e-01,4.078088569553976583e+00,3.204468815625243217e+00,-2.540106259045944892e+00,-6.097146170206942939e-01,-8.713624955194212429e-01,-2.301995499281200175e+00
7.000000000000000146e-03,-1.365056974161101389e+00,3.078058974046196661e-01,5.829861178694679680e-01,5.822851799830731645e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.614577605647064901e-02,5.778470834014850198e-03,7.506768324433736421e-03,3.941627369948534979e-03,1.703946972087037881e-02,-1.670264436687475228e-05,-1.003144738445912142e-02,-2.380088288349893055e-01,-8.877605230593047514e-01,2.787895076390369375e+00,6.905299242751739008e-03,-5.753022854873595104e-01,6.322006796543308549e-02,-2.299779012748940588e+00,1.142842692806157745e-02,4.966841425788857123e+00,4.269612279025431500e-01,-2.545067084203770591e+00,-3.927553328434409130e-02,-9.335009915217974408e-01,0.000000000000000000e+00,-1.704346258504570999e-01,4.084859373563567431e+00,3.222363072617346003e+00,-2.534220157591070333e+00,-5.975383490508332507e-01,-8.702976262007312558e-01,-2.309810460133399523e+00
8.000000000000000167e-03,-1.364044183996905746e+00,3.073271000921798390e-01,5.956730454079511849e-01,5.949776023353168242e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.823569615793441206e-02,5.993456239596559910e-03,7.786173994858096477e-03,4.088252951722903296e-03,1.767362229231841594e-02,-1.731204335416953443e-05,-1.040477830977566860e-02,-2.868715758242137426e-01,-9.220817977981172753e-01,2.732630132388257138e+00,8.671570879096332507e-02,-5.634631480631304701e-01,7.360597019267403618e-02,-2.293230857072501294e+00,1.147872942915892196e-02,5.020488744934355374e+00,4.314843574609954491e-01,-2.572540636814934167e+00,-3.968943638651906830e-02,-9.435765622592853230e-01,0.000000000000000000e+00,-2.171571502371204276e-01,4.104400403375835005e+00,3.171900663844110291e+00,-2.481736675072248044e+00,-5.854789621573311953e-01,-8.699879041099655153e-01,-2.303635635382276892e+00
9.000000000000001055e-03,-1.359119141860678504e+00,3.018816301457078466e-01,6.208981914939913915e-01,6.202164143189854428e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.471933654458195892e-02,-1.514882653715376483e-03,-1.967873671728125572e-03,-1.033257119446137108e-03,-4.467033633578543390e-03,4.364626569676218406e-06,2.629820022282945615e-03,-2.507110441086113362e-01,-8.956129512402156712e-01,2.758820879945149684e+00,3.095013244963962240e-02,-5.634593102299396694e-01,6.846111978985255919e-02,-2.279450564062999618e+00,1.137820414433141428e-02,4.986972806041677586e+00,4.285680997181982033e-01,-2.555395550130481030e+00,-3.942149161627969689e-02,-9.372770243506183263e-01,0.000000000000000000e+00,-2.540521765088618600e-01,4.089844972147746560e+00,3.185421105991620205e+00,-2.525478674800287759e+00,-6.073478354797979817e-01,-8.688115399341960199e-01,-2.276820744040716882e+00
