t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000000000000000e+00,-4.887767480977771029e-01,1.753198323523101898e-01,-2.410549827250478838e+00,-2.410803923800111104e+00,-4.887767480977771029e-01,1.717904370544045822e-01,3.277978468934300005e-01,9.451687755640113542e-01,4.819782193404632820e-02,5.669421512215402220e-02,5.830820996593218120e-03,7.553790761581870815e-03,3.980899915420105586e-03,1.720927520377862202e-02,-1.665609551403577539e-05,-1.013178799261062191e-02,-3.888782450694985293e-01,-8.502839445249430472e-01,2.637503014040913918e+00,-8.233669374081586945e-02,-5.535556375319576894e-01,5.508575823603079069e-02,-2.309047110048238149e+00,7.599549988945823384e-03,5.126555212338113954e+00,4.350500587968368360e-01,-2.631457594810287848e+00,-3.979780708841958864e-02,-9.643985108730884770e-01,0.000000000000000000e+00,-3.245844799583987306e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.761441694165987393e-01,-9.093294087325717312e-01,-1.000000000000000000e+00
1.000000000000000021e-03,-4.922215546873274783e-01,1.545534555464708193e-01,-2.403571418202703036e+00,-2.403795089239599392e+00,-4.922215546873274783e-01,1.510347707314263765e-01,3.329194926860429282e-01,9.415585567542608114e-01,3.877060081432649047e-02,5.491381018969618277e-02,5.647711917447385127e-03,7.316533854180254370e-03,3.855883493651921477e-03,1.666881582385899147e-02,-1.613434777716858648e-05,-9.813597606447507088e-03,-3.901230291134609729e-01,-8.461072480606731672e-01,2.638509336553748863e+00,-9.499152590975892818e-02,-5.533430795941796099e-01,5.502214879376232659e-02,-2.310153160579976994e+00,7.593425657855994507e-03,5.123110104549081001e+00,4.347563448161278488e-01,-2.629691360617004481e+00,-3.977075848635516081e-02,-9.637501700597069787e-01,0.000000000000000000e+00,-3.276157932659088390e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.764450222566757098e-01,-9.087441556137217935e-01,-1.000000000000000000e+00
2.000000000000000042e-03,-4.974464993629899578e-01,1.357614632646012010e-01,-2.399652104964308030e+00,-2.399850354260392393e+00,-4.974464993629899578e-01,1.322107292304656734e-01,3.371438297408007045e-01,9.389245896987451490e-01,3.016912080551398256e-02,5.093454545080441931e-02,5.238611585269631159e-03,6.786468533179812294e-03,3.576511356245832413e-03,1.546098970907221551e-02,-1.496992963519508572e-05,-9.102504350218530368e-03,-3.754945075735673932e-01,-8.467782828879005796e-01,2.661100596553148900e+00,-9.927212967833237700e-02,-5.554999558283058025e-01,5.466745904614947471e-02,-2.313382700651393620e+00,7.673836882118029515e-03,5.122227414586518535e+00,4.347865724207312099e-01,-2.629232598152611011e+00,-3.977680997402550239e-02,-9.635863418573068495e-01,0.000000000000000000e+00,-3.168861252406449669e-01,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-5.798157760932591831e-01,-9.089338527407926360e-01,-2.000000000000000000e+00
3.000000000000000062e-03,-5.045846475157708122e-01,1.187446640488211691e-01,-2.395541341808368863e+00,-2.395713875611770405e+00,-5.045846475157708122e-01,1.152112917831362437e-01,3.410002026621049009e-01,9.358892799002337393e-01,2.233519846416567867e-02,4.761491009649802125e-02,4.897263229321112236e-03,6.344167072420323593e-03,3.343422329822793616e-03,1.445331229475782173e-02,-1.399734230717716293e-05,-8.509243657392570603e-03,-3.684151635232186806e-01,-8.484797232765378672e-01,2.669812480935601862e+00,-9.813013703101006180e-02,-5.570406732668549132e-01,5.575987588889905200e-02,-2.314618798062921368e+00,7.657208224482278669e-03,5.127416439440620088e+00,4.352065027832522359e-01,-2.631892170767931916e+00,-3.981443969819655621e-02,-9.645612142751037732e-01,8.848375582918301292e-19,-3.131430452022383459e-01,3.000000000000000000e+00,3.000000000000000000e+00,-2.726678885469119074e+00,-5.824018006702936789e-01,-9.088153357285119194e-01,-2.323128041720313952e+00
4.000000000000000083e-03,-5.112317895904554543e-01,1.049252711525001380e-01,-2.389672165157364248e+00,-2.389826655691783763e+00,-5.112317895904554543e-01,1.013455731610300725e-01,3.442709954773995884e-01,9.321962384383631894e-01,1.594516779935682693e-02,5.418671566692217362e-02,5.573138425912016643e-03,7.219902176185269763e-03,3.804908187434285181e-03,1.644822390816898586e-02,-1.593119195479698121e-05,-9.683727922459146875e-03,-3.156879607732130388e-01,-8.632244842539559260e-01,2.708259299445157087e+00,-5.265410909164597308e-02,-5.661746417072721638e-01,5.739643623291931784e-02,-2.307388140190320236e+00,7.806989722840345161e-03,5.147389994998897933e+00,4.370334478571112902e-01,-2.642121285840236311e+00,-3.998629824014238165e-02,-9.683188278059808862e-01,3.764136630087110118e-17,-2.536942553834505287e-01,4.000000000000000000e+00,3.152512649478453888e+00,-2.690970486744447943e+00,-5.897127160392455769e-01,-9.109383227650162951e-01,-2.317071868112779320e+00
5.000000000000000104e-03,-5.148754838576329318e-01,9.713144955378053003e-02,-2.384787034491774982e+00,-2.384928023890510396e+00,-5.148754838576329318e-01,9.360576496240664846e-02,3.459330250786680772e-01,9.294468513198480553e-01,1.230600139842438767e-02,3.767410413642933997e-02,3.874810539720954794e-03,5.019637597828228298e-03,2.645390112305970147e-03,1.143580429178492168e-02,-1.107434990421435839e-05,-6.732714831614226153e-03,-3.006971177782626903e-01,-8.471871169757269060e-01,2.722859813452085831e+00,-9.239378025243102921e-02,-5.667759910667549139e-01,5.540972395998747246e-02,-2.304308139433132396e+00,7.677746298303538171e-03,5.129215181089461062e+00,4.353756805848840172e-01,-2.632810578531627144e+00,-3.983059443419329632e-02,-9.648986058175437197e-01,-3.750821854989441061e-17,-2.553452673435298026e-01,4.000000000000000000e+00,3.163255131634798101e+00,-2.722558968671752400e+00,-5.951707812091633354e-01,-9.094999562074604915e-01,-2.311040854264746702e+00
6.000000000000000125e-03,-5.165868052235389474e-01,9.489160238636554223e-02,-2.384761051483629934e+00,-2.384898158101951271e+00,-5.165868052235389474e-01,9.138087523480509233e-02,3.459777026266788180e-01,9.290627200835517296e-01,1.122006721789364780e-02,6.007818955030751890e-02,6.179064753402569235e-03,8.004759698216460523e-03,4.218527570280411997e-03,1.823646618352522258e-02,-1.765413751798191333e-05,-1.073653548059082599e-02,-2.882482374517230106e-01,-8.509135047058037360e-01,2.735019738443556392e+00,-8.362043938652377606e-02,-5.673052532947220339e-01,5.582572092343196513e-02,-2.301932456053872311e+00,7.651592151483229201e-03,5.133464125859054761e+00,4.356987476566865358e-01,-2.634990169593450560e+00,-3.985919547972010396e-02,-9.656968083952625070e-01,0.000000000000000000e+00,-2.205184557499322295e-01,4.000000000000000000e+00,3.178723245798459551e+00,-2.714392081409693791e+00,-5.889279825909168320e-01,-9.098887416093485170e-01,-2.312668991534462926e+00
7.000000000000000146e-03,-5.181796881849974890e-01,9.561321055796750956e-02,-2.389456894703809287e+00,-2.389596229502833236e+00,-5.181796881849974890e-01,9.206518140217652413e-02,3.451585100417709495e-01,9.306723048616842853e-01,1.154899224823322662e-02,3.718529161134368627e-02,3.824611817973774114e-03,4.954524006660908017e-03,2.611133959099050904e-03,1.128745184862056834e-02,-1.094332350232482086e-05,-6.645377160590722199e-03,-2.732456717108826538e-01,-8.416826739046197048e-01,2.749325508213523506e+00,-1.059491809090720160e-01,-5.710350517603788312e-01,5.457264437601294649e-02,-2.302908008522373873e+00,7.701048070618624931e-03,5.122385051324427785e+00,4.348437222476779773e-01,-2.629314651211948739e+00,-3.978236758595021794e-02,-9.636172816541318520e-01,-3.745815559834366455e-17,-2.283593320289203643e-01,4.000000000000000000e+00,3.189123754467862337e+00,-2.732652698161921911e+00,-5.995299674977084825e-01,-9.090555806016212825e-01,-2.309553385682964421e+00
8.000000000000000167e-03,-5.184789517839576423e-01,9.725044529826543105e-02,-2.394397158570205519e+00,-2.394536419415308259e+00,-5.184789517839576423e-01,9.375893649940514329e-02,3.442719436423942181e-01,9.326160483643497479e-01,1.241189598631928237e-02,4.173377896361346942e-03,4.292388361238521472e-04,5.560722527257436643e-04,2.930328964396367508e-04,1.266816652512010389e-03,-1.223699450236350299e-06,-7.458252703089306027e-04,-2.631628104265404389e-01,-8.705999512001331153e-01,2.756788693990623429e+00,-3.161903583215108782e-02,-5.661087923195817773e-01,5.658923081267072663e-02,-2.292784334933664958e+00,7.609414231365852800e-03,5.154016085830113170e+00,4.373651035601560655e-01,-2.645530549692532762e+00,-4.001110315058850619e-02,-9.695613405211082059e-01,-3.681032930487185848e-17,-2.513800182988132348e-01,4.000000000000000000e+00,3.194709869803505242e+00,-2.676856552628244401e+00,-6.048530788176582629e-01,-9.129733334078876661e-01,-2.293530160203973711e+00
9.000000000000001055e-03,-5.138117415608954852e-01,9.859291855324561760e-02,-2.395592636770329520e+00,-2.395732094513080668e+00,-5.138117415608954852e-01,9.514397646216751769e-02,3.439422524084766453e-01,9.338842528068235227e-01,1.333781795356605432e-02,-1.089923172496715283e-02,-1.120934198602918696e-03,-1.452097388041807087e-03,-7.652180852221242974e-04,-3.308325163417525153e-03,3.187978764701889464e-06,1.947738059878689754e-03,-2.433579195624742120e-01,-8.703866029283801042e-01,2.758663011081280203e+00,-2.609214618969793453e-02,-5.655107841612723174e-01,6.054252631186751721e-02,-2.278883614492502652e+00,7.523208836079723662e-03,5.161110681484679219e+00,4.378222762145925762e-01,-2.649173534638410654e+00,-4.004968440023442405e-02,-9.708807587789105575e-01,0.000000000000000000e+00,-2.467339424513616264e-01,4.000000000000000000e+00,3.195033189907831250e+00,-2.676030898913330791e+00,-6.088687937249241955e-01,-9.103350444882782888e-01,-2.276935876432624184e+00
1.000000000000000021e-02,-5.049286856364894049e-01,1.013907449277203499e-01,-2.399861925193916612e+00,-2.400004375098189868e+00,-5.049286856364894049e-01,9.796092415854307234e-02,3.435350099804620472e-01,9.372218471681368346e-01,1.523829708228554430e-02,-9.494318128295725634e-02,-9.763666351528362680e-03,-1.264814125042049500e-02,-6.665255702941790851e-03,-2.881798650212619856e-02,2.770649036530578680e-05,1.696622013593647449e-02,-1.805849426305172756e-01,-8.435240725249273375e-01,2.793689725337290763e+00,-7.794280016465038319e-02,-5.704966919501142097e-01,6.005182386562327168e-02,-2.257087734245981636e+00,7.428228969493754635e-03,5.133513542903808791e+00,4.353782165502412260e-01,-2.634999261422267036e+00,-3.982427229024506493e-02,-9.656740647459060023e-01,3.753975185476897545e-17,-2.680998949439807877e-01,4.000000000000000000e+00,3.216419800637111415e+00,-2.719607317289859161e+00,-6.391389507424855010e-01,-9.055945343899174382e-01,-2.240121514110045009e+00
