t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000000000000000e+00,-1.399317815346987182e+00,3.395893424926995641e-01,6.994366676353023227e-01,6.986481656347698355e-01,-1.399317815346987182e+00,3.412086080722049330e-01,2.407911711221532580e-01,-6.912043646182213230e-01,1.391441161307760410e-01,5.036707644292812841e-02,5.183820221024973939e-03,6.734115458248523048e-03,3.535778586310441007e-03,1.528585136524318773e-02,-1.493809638206822509e-05,-8.999057829276074436e-03,-3.657126985205794156e-01,-8.905451460282400866e-01,2.679208420190959838e+00,5.071857421067776928e-03,-5.572424748903621605e-01,6.339255038390995134e-02,-2.315399606379414887e+00,1.296046542986192297e-02,5.525453163505856580e+00,4.752515252535451373e-01,-2.831322144745413993e+00,-4.372926050928897801e-02,-1.038501912567341590e+00,4.044239142515003323e-17,-3.023851566477893660e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.856858840344079109e-01,-9.751243002798137827e-01,-1.000000000000000000e+00
1.000000000000000021e-03,-1.401238067903786577e+00,3.275570360611040344e-01,7.017811194605457770e-01,7.010206351375101175e-01,-1.401238067903786577e+00,3.291814402663585937e-01,2.440152046070760139e-01,-6.924280961745982177e-01,1.336990898277450601e-01,3.025720309141764677e-03,3.114180137845358964e-04,4.045382025487580073e-04,2.124046880474773046e-04,9.182730487143826205e-04,-8.970122438014826854e-07,-5.406040356460100997e-04,-3.730113988599588204e-01,-8.737161129272664750e-01,2.675234867769323621e+00,-3.652816757034010875e-02,-5.530734619789103856e-01,6.010445437477737740e-02,-2.312972021010580193e+00,1.290817172816187929e-02,5.504255179541353016e+00,4.734347209973389092e-01,-2.820479965578977843e+00,-4.356233489760407557e-02,-1.034521419599260472e+00,1.492842574097063413e-18,-3.570775068226551552e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.957175238278000773e-01,-9.744178622367268838e-01,-1.000000000000000000e+00
2.000000000000000042e-03,-1.407570610091682939e+00,3.135576018288584454e-01,6.973538704313707592e-01,6.966258171770267626e-01,-1.407570610091682939e+00,3.151717961885513453e-01,2.477873125069253446e-01,-6.915466416643448744e-01,1.274520181811245600e-01,4.204084399368429245e-03,4.326994851602025791e-04,5.620853128384411699e-04,2.951255062910029142e-04,1.275893682528793632e-03,-1.246352590172165599e-06,-7.511418033696662389e-04,-3.642568444675755579e-01,-8.740185367546744466e-01,2.680309028333020649e+00,-3.330847853867627273e-02,-5.548627103509027325e-01,6.015185695141175848e-02,-2.311486319690844837e+00,1.291579919634558947e-02,5.507487674463114935e+00,4.737128302300275817e-01,-2.822136260466965751e+00,-4.358792827887586485e-02,-1.035128949394451547e+00,0.000000000000000000e+00,-3.471369608718615218e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.971747449472497582e-01,-9.749783387956298952e-01,-1.000000000000000000e+00
3.000000000000000062e-03,-1.416032522780950265e+00,2.992717179630856039e-01,6.920828940836774024e-01,6.913879152713282572e-01,-1.416032522780950265e+00,3.008738009075928588e-01,2.518503869296023767e-01,-6.906710843940785383e-01,1.211230519593429616e-01,2.423503520675123618e-02,2.494326398775011545e-03,3.240244892539919340e-03,1.701293145354104176e-03,7.355042937361045557e-03,-7.186965639017576301e-06,-4.330046353944775120e-03,-3.309941890603402825e-01,-8.958206744195243987e-01,2.709981350980823045e+00,1.824035371887358647e-02,-5.608058744798043449e-01,6.471088338056918410e-02,-2.310044954276764262e+00,1.298734610564380478e-02,5.537798648584741912e+00,4.763185731613218676e-01,-2.837643633400270815e+00,-4.382762068523959192e-02,-1.040819705964417974e+00,-4.203475664094756633e-17,-2.937718077479452572e-01,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-5.972784522276829433e-01,-9.761160095494878508e-01,-2.000000000000000000e+00
4.000000000000000083e-03,-1.423560303522243942e+00,2.885094664921884489e-01,6.897808552551366601e-01,6.891075226288913003e-01,-1.423560303522243942e+00,2.901140513459954939e-01,2.551232520924682223e-01,-6.908841987789999806e-01,1.163866691748651483e-01,-1.433068964039477949e-02,-1.474941151084950119e-03,-1.916017112112021600e-03,-1.006039657244952278e-03,-4.349226874924763155e-03,4.253555776855611601e-06,2.560470094506177210e-03,-2.936430591004204338e-01,-8.732605972635419933e-01,2.735067380296773987e+00,-2.296334803347543918e-02,-5.683901123088881402e-01,5.846387905777372662e-02,-2.304870109074235618e+00,1.298587564809657556e-02,5.510220788947304271e+00,4.740133411975079314e-01,-2.823534977672045088e+00,-4.361683823851003616e-02,-1.035646194226655714e+00,0.000000000000000000e+00,-2.949878730927186776e-01,3.000000000000000000e+00,3.000000000000000000e+00,-2.847504365362765633e+00,-6.163561774223229595e-01,-9.771780616131051644e-01,-2.302309638979729289e+00
5.000000000000000104e-03,-1.429709948759913640e+00,2.835503570592767253e-01,6.818849261873812795e-01,6.812194207917954270e-01,-1.429709948759913640e+00,2.851455037101314205e-01,2.565913522977186223e-01,-6.884624620996981914e-01,1.142597438890778916e-01,1.449080469811387696e-02,1.491421284286276096e-03,1.937450403482143379e-03,1.017288054342897676e-03,4.397830967223838490e-03,-4.302158912741607099e-06,-2.589084521276957540e-03,-2.709392230250990963e-01,-8.712740219360034510e-01,2.758495883718879327e+00,-2.919103038734419120e-02,-5.724087126569170625e-01,5.823412443083622603e-02,-2.305136517422295306e+00,1.305534991594121258e-02,5.508683998535133242e+00,4.739651322672315814e-01,-2.822735696532194805e+00,-4.361507981299415221e-02,-1.035357666684345590e+00,-4.031966613201419705e-17,-2.433930684110440223e-01,4.000000000000000000e+00,3.234398466389592830e+00,-2.850909438865195877e+00,-6.116259615026874430e-01,-9.771278444124221751e-01,-2.307725601943572347e+00
6.000000000000000125e-03,-1.435601939652200842e+00,2.843138708188258645e-01,6.667574058968142037e-01,6.660889496301708457e-01,-1.435601939652200842e+00,2.858764184727533575e-01,2.562068799871936031e-01,-6.829034957552305718e-01,1.147292040081593634e-01,-3.447592512804002057e-02,-3.548396501862111432e-03,-4.609448490319290742e-03,-2.420254003608930150e-03,-1.046303846646725981e-02,1.023480304900541697e-05,6.159781343197576718e-03,-2.422539575695394909e-01,-8.726400978634603067e-01,2.785476040157844668e+00,-2.948366373322330869e-02,-5.735322698605258562e-01,6.046503165594629969e-02,-2.299120914339784605e+00,1.309170415463039618e-02,5.514086271251980698e+00,4.744657815198977668e-01,-2.825493991285097817e+00,-4.366216402063614194e-02,-1.036367016290292487e+00,-1.514072384723345349e-18,-2.636381785429491309e-01,4.637897776886658718e+00,3.255332373187422856e+00,-2.857397909021930360e+00,-6.276574723476292528e-01,-9.758917498312972283e-01,-2.292961132996587104e+00
7.000000000000000146e-03,-1.441910857212060471e+00,2.891327415569858728e-01,6.538367945771436096e-01,6.531578572356303569e-01,-1.441910857212060471e+00,2.906632238769339960e-01,2.547054161841330044e-01,-6.783122240920906876e-01,1.170392498397534176e-01,-1.392607134974468454e-02,-1.433326914209081008e-03,-1.861929330189260063e-03,-9.776211447090465273e-04,-4.226392233425836642e-03,4.133239385346008423e-06,2.488153699915221593e-03,-2.409191879032284156e-01,-8.802162437181485499e-01,2.789098038153175363e+00,-1.451576806900473082e-02,-5.730909856885006981e-01,6.238564823081729771e-02,-2.299453386170378977e+00,1.310533867600066106e-02,5.526171958561558739e+00,4.754901364536604502e-01,-2.831680476201444030e+00,-4.375614720801004887e-02,-1.038636016325229283e+00,1.515650345587301033e-18,-2.417399205769724391e-01,4.644522387929201024e+00,3.262726245276646786e+00,-2.847173865415157934e+00,-6.210735251299365212e-01,-9.762462348550267066e-01,-2.296965232470463913e+00
8.000000000000000167e-03,-1.447261641582672453e+00,2.946950323938207217e-01,6.511739985702994504e-01,6.504861303039118914e-01,-1.447261641582672453e+00,2.962102847874620859e-01,2.530245654777149023e-01,-6.778714433195920375e-01,1.196078833485024195e-01,2.821138061846554385e-02,2.903569182104115583e-03,3.772014328417875543e-03,1.980459846006877786e-03,8.561856764898911204e-03,-8.369669193935273498e-06,-5.040521074895653111e-03,-2.547366917016145038e-01,-8.959065095099923992e-01,2.774477003587583646e+00,2.299110927108533042e-02,-5.717696990570253490e-01,6.551985190306877649e-02,-2.300784127998096729e+00,1.308313518354134626e-02,5.549524406971110935e+00,4.774078844758909979e-01,-2.843633416931372615e+00,-4.393027185872031004e-02,-1.043022766373349342e+00,-4.061863390656170537e-17,-2.134421758996076224e-01,4.656521466643222418e+00,3.255656902391892427e+00,-2.818661847814280641e+00,-6.071381141508467305e-01,-9.775112841394745233e-01,-2.305824649072992560e+00
9.000000000000001055e-03,-1.449091767696129684e+00,2.977622382208420238e-01,6.619078036410298571e-01,6.612185738763803888e-01,-1.449091767696129684e+00,2.992896399678135477e-01,2.519732472664916179e-01,-6.824782196924130684e-01,1.209087880857437902e-01,1.958701704350280983e-03,2.015930715081797140e-04,2.618795971430392983e-04,1.374903179686783918e-04,5.944323998574147470e-04,-5.794209299725339194e-07,-3.499524941529991726e-04,-2.487857446420114194e-01,-9.050836912547872704e-01,2.777415574416837174e+00,4.278067048304146081e-02,-5.672839610238089580e-01,6.915406163954179730e-02,-2.292197905931154356e+00,1.300996558152443111e-02,5.564887547902068299e+00,4.786010676504537931e-01,-2.851480531644771776e+00,-4.403836104007512187e-02,-1.045892611278529838e+00,0.000000000000000000e+00,-2.338170773561367155e-01,4.660005449718789272e+00,3.256278521664434322e+00,-2.808562370843761702e+00,-6.107278896640265797e-01,-9.767391290599179987e-01,-2.292547858425307172e+00
1.000000000000000021e-02,-1.447149623755125569e+00,2.943462136523841699e-01,6.785974354046959700e-01,6.779362867287682670e-01,-1.447149623755125569e+00,2.958657870821411739e-01,2.526226777282117308e-01,-6.889670687752541545e-01,1.192572662699379477e-01,-4.282080579026575212e-02,-4.406899619730288500e-03,-5.724273512957778025e-03,-3.005383166642752475e-03,-1.299474213678816596e-02,1.262226533408886485e-05,7.650202077656619026e-03,-2.937393531468401875e-01,-8.901598657656025759e-01,2.716654794413566165e+00,9.336750607247062961e-03,-5.541076404829359259e-01,7.341707058842694700e-02,-2.278071106539278912e+00,1.261916968917566224e-02,5.562567064583506138e+00,4.779230044334625283e-01,-2.850321644946044675e+00,-4.396234399053259440e-02,-1.045431536780537352e+00,-4.217330558490503452e-17,-3.239409892479302999e-01,4.668000299198173053e+00,3.188853525334070849e+00,-2.843990277505440201e+00,-6.110647266102566810e-01,-9.720018439267763544e-01,-2.270420904461622147e+00
1.099999999999999936e-02,-1.443339312234694249e+00,2.848208931789949494e-01,6.820261756450455293e-01,6.813913295709332907e-01,-1.443339312234694249e+00,2.863363432081977855e-01,2.547546797768889815e-01,-6.895798197992395462e-01,1.149970349993567065e-01,-1.150406372335812250e-01,-1.183859193721993955e-02,-1.537552668409387403e-02,-8.072553075251075877e-03,-3.490865605824428758e-02,3.373917129273358822e-05,2.055115046495803455e-02,-1.883179892666584365e-01,-8.783886698049082620e-01,2.792383388438919312e+00,-1.136792055739102580e-02,-5.624907198058355373e-01,7.788454620433687969e-02,-2.250138126382332793e+00,1.250836619262972460e-02,5.556805402606289412e+00,4.772652189642278553e-01,-2.847342902096471118e+00,-4.390010286317053839e-02,-1.044309316789244990e+00,4.067200905845380804e-17,-2.908502603076099091e-01,4.666578140864160673e+00,3.254273080719053191e+00,-2.866783375729113459e+00,-6.412994787272504604e-01,-9.663910314136153756e-01,-2.229586975917374758e+00
