epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,elapsed_s
1,-2518.4975,501.0,-0.008698,177587.750000,0.015559,7,7,67.02
2,-2183.6499,501.0,-0.007840,121345.750000,0.015658,10,7,64.87
3,-2366.1606,501.0,-0.007297,141833.531250,0.016376,11,7,64.77
4,-1955.7563,501.0,-0.012992,94081.968750,0.015073,32,7,63.93
5,-1906.2398,501.0,-0.017867,87498.125000,0.013143,80,7,66.68
6,-1773.2974,501.0,-0.006667,71312.703125,0.015221,9,7,66.09
7,-1810.4625,501.0,-0.005435,83141.109375,0.017466,8,7,63.30
8,-1857.9769,501.0,-0.006833,76648.765625,0.015142,7,7,64.53
9,-1680.8040,501.0,-0.018897,55545.820312,0.015014,58,7,65.86
10,-1750.5520,501.0,-0.007300,64408.312500,0.015872,11,7,64.03
11,-1579.6690,501.0,-0.005895,47577.847656,0.015149,10,7,64.71
12,-1515.9950,501.0,-0.007381,38920.703125,0.015516,12,7,65.23
13,-1574.5905,501.0,-0.018225,43852.785156,0.012478,80,7,65.79
14,-1355.8975,501.0,-0.019315,27035.777344,0.014263,80,7,64.47
15,-1382.0268,501.0,-0.006274,32153.101562,0.015322,9,7,64.57
16,-1202.4445,501.0,-0.006661,19010.882812,0.015294,7,7,64.43
17,-1557.8610,501.0,-0.005065,44170.949219,0.015019,12,7,65.97
18,-1255.8250,501.0,-0.005332,17817.656250,0.016486,8,7,64.50
19,-1379.5075,501.0,-0.005302,27585.900391,0.015444,9,7,63.84
20,-1173.6801,501.0,-0.018548,13069.931641,0.014690,80,7,64.68
21,-1172.4575,501.0,-0.012641,12779.289062,0.015279,29,7,64.85
22,-1118.8817,501.0,-0.004922,9378.510742,0.015325,11,7,64.67
23,-1087.9704,501.0,-0.007411,9567.507812,0.015391,12,7,64.18
24,-1095.8122,501.0,-0.004833,8953.791016,0.015122,9,7,65.07
25,-1084.3447,501.0,-0.006594,7572.375977,0.015671,10,7,64.91
26,-1041.7171,501.0,-0.003308,6212.562988,0.015002,7,7,65.43
27,-1240.6344,501.0,-0.007840,17893.671875,0.015173,13,7,64.81
28,-1085.1008,501.0,-0.019573,6883.550293,0.014495,80,7,66.07
29,-1043.0054,501.0,-0.006401,5228.700684,0.015513,13,7,64.44
30,-1019.2372,501.0,-0.016430,4877.585938,0.015128,49,7,63.98
31,-927.4247,501.0,-0.004578,3608.095947,0.016106,8,7,64.93
