epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2563.5714,501.0,-0.018964,264974.375000,0.015169,25,4,7.8141,8.1432,7.5492,21.76
2,-2940.8233,488.6,-0.008061,166906.562500,0.015001,10,9,7.6752,7.1097,3.4408,18.55
3,-2170.5984,501.0,-0.008293,140210.218750,0.015561,14,8,6.1436,7.1951,7.9463,18.78
4,-1636.7320,468.6,-0.007432,54602.664062,0.015224,15,9,4.7651,5.8969,4.8132,18.96
5,-1560.0175,501.0,-0.015967,59836.332031,0.015033,45,8,4.9585,5.7783,5.2996,19.90
6,-1657.6487,501.0,-0.007190,57890.332031,0.016934,10,8,5.5282,5.5505,4.3427,18.44
7,-1630.4592,501.0,-0.006051,49596.148438,0.016106,11,8,5.0968,5.1433,4.5444,17.99
8,-1464.8048,501.0,-0.007935,46512.531250,0.016062,9,8,4.8349,5.8655,4.4317,18.16
9,-1543.9876,501.0,-0.004516,32321.466797,0.015807,11,8,4.5964,4.5121,4.4500,18.29
10,-1320.3872,501.0,-0.005594,31501.482422,0.016394,12,8,5.1053,4.5590,4.2597,19.49
11,-1451.0547,501.0,-0.006251,45568.527344,0.015383,10,8,5.3490,4.6142,5.1402,18.64
12,-1351.8630,501.0,-0.005962,30531.792969,0.016724,11,8,5.0716,4.4191,4.9114,18.43
13,-1428.3915,501.0,-0.005198,41452.902344,0.015488,10,8,5.2954,4.3019,3.8309,18.65
14,-1262.0048,501.0,-0.005949,28377.494141,0.016397,9,8,4.7690,4.5827,4.5029,18.29
15,-1330.2005,501.0,-0.005752,21813.509766,0.015236,11,8,4.7959,4.0558,5.5419,18.62
16,-1419.9466,501.0,-0.006797,29662.734375,0.015874,10,8,4.9555,4.7427,4.8474,18.75
17,-1572.0406,501.0,-0.005861,50802.046875,0.015240,9,8,5.5947,4.6886,2.3065,18.13
18,-1361.1182,501.0,-0.014677,32404.490234,0.015154,57,8,5.1771,4.9813,3.0077,19.18
19,-1378.9497,501.0,-0.006226,13020.788086,0.016132,10,8,4.6664,4.0062,4.1109,19.41
20,-1193.0937,501.0,-0.011493,14454.570312,0.015058,34,8,4.4316,4.2803,4.4477,19.48
21,-1099.9065,501.0,-0.006065,10171.029297,0.015214,13,8,4.1113,3.6570,nan,18.91
22,-1123.5749,501.0,-0.006843,14041.260742,0.016448,10,8,4.0768,4.3650,4.8202,18.23
23,-1156.1485,501.0,-0.005889,8450.137695,0.016165,9,8,4.0746,3.6320,4.0709,18.16
24,-1064.9502,501.0,-0.013462,7942.577637,0.015009,62,8,3.9051,3.9040,2.5865,18.74
25,-1034.1656,501.0,-0.006654,8134.734863,0.015826,12,8,3.9376,3.9341,4.3025,18.22
26,-1117.3532,501.0,-0.005266,7677.474121,0.016672,10,8,4.1040,4.0333,3.3164,18.12
27,-1058.1284,501.0,-0.007412,7371.730469,0.015357,14,8,3.9032,3.6298,4.3250,19.27
28,-971.0594,501.0,-0.007230,4219.576172,0.016198,11,8,3.9069,3.6512,nan,18.31
29,-1088.9136,501.0,-0.004825,8202.485352,0.015860,10,8,4.0840,3.7311,3.8284,18.15
30,-1018.3188,501.0,-0.004687,5441.250488,0.016155,9,8,3.9760,3.6068,3.7854,19.07
31,-1030.1502,501.0,-0.005885,4915.573242,0.015258,9,8,3.9171,3.6610,4.4758,18.38
32,-973.2206,501.0,-0.004052,4480.098145,0.016053,11,8,3.3936,4.1609,4.0222,18.83
33,-1027.2302,501.0,-0.018974,5332.493164,0.013669,80,8,3.7281,4.1274,4.0059,19.49
34,-924.7044,501.0,-0.016306,3391.302490,0.012202,80,8,3.4099,3.6065,3.6537,18.55
35,-1606.0373,501.0,-0.026500,124856.226562,0.013045,80,8,4.0531,6.5762,3.6138,18.36
36,-903.3869,501.0,-0.005882,2981.202148,0.015674,8,8,3.7680,3.3179,3.5606,17.85
37,-869.4543,501.0,-0.004776,2762.639648,0.015350,6,8,3.7498,3.3363,3.0071,17.98
38,-901.9749,501.0,-0.004366,2905.384766,0.016499,9,8,3.2029,3.8083,4.4299,17.86
39,-829.8678,501.0,-0.005618,1924.958252,0.015075,12,8,2.8099,3.2913,3.1924,18.02
40,-841.2532,501.0,-0.017393,2780.902588,0.014799,80,8,2.9833,3.0668,3.4365,18.95
