epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-837.3118,250.0,-0.009101,53856.949219,0.015662,7,16,5.8105,4.3483,2.0043,14.96
2,-832.9235,250.0,-0.007092,49437.351562,0.015865,10,16,5.6576,3.7361,1.7495,10.69
3,-855.2212,250.0,-0.008170,79868.468750,0.015396,12,16,4.2295,6.9098,1.6095,10.57
4,-645.8792,250.0,-0.006295,24021.263672,0.016450,9,16,4.0671,3.5074,1.7885,10.67
5,-898.4527,250.0,-0.006568,89314.695312,0.015998,11,16,4.5999,7.0797,1.8895,10.93
6,-658.4413,235.7,-0.006530,27059.962891,0.015920,9,16,7.0554,3.6313,1.7985,10.72
7,-701.4365,250.0,-0.007411,34554.714844,0.015202,13,16,3.0454,4.9040,1.8143,11.09
8,-994.3498,250.0,-0.007694,74403.523438,0.015197,10,16,7.3740,4.4991,1.7937,11.18
9,-770.2195,250.0,-0.011529,32099.552734,0.015038,25,16,4.0186,4.6302,1.8589,11.09
10,-756.7930,240.1,-0.011751,30944.859375,0.015313,15,16,6.7244,3.8844,1.8239,10.92
11,-938.4388,250.0,-0.008694,63612.000000,0.015268,13,16,6.1033,3.7181,1.6398,10.48
12,-862.0679,250.0,-0.006196,45331.855469,0.015124,9,16,5.9581,3.3903,1.7629,10.74
13,-667.5977,250.0,-0.006172,20598.113281,0.015714,11,16,3.6303,4.4031,1.6594,10.79
14,-735.8700,233.9,-0.008767,26634.910156,0.015349,10,16,7.5103,3.1580,1.7177,10.60
15,-780.5798,250.0,-0.009819,53035.257812,0.015832,9,16,6.4444,3.8421,1.8505,10.65
16,-743.6199,235.6,-0.009039,24498.695312,0.015234,14,16,5.7636,3.8649,1.6662,11.14
17,-1118.8557,250.0,-0.008736,121481.734375,0.016128,9,16,7.0904,5.9246,1.5173,11.26
18,-762.7151,250.0,-0.010131,18722.855469,0.015230,20,16,3.5760,5.4966,1.6662,10.71
19,-729.6775,250.0,-0.010829,9940.809570,0.015200,28,16,3.3260,3.8294,1.5705,11.42
20,-821.8075,246.5,-0.008565,49583.386719,0.016177,10,17,7.7936,4.6197,1.9341,10.67
21,-930.7367,250.0,-0.011230,80659.664062,0.015670,10,16,12.8375,4.0579,1.8016,10.61
