epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-758.1552,250.0,-0.009101,39944.304688,0.016017,5,8,4.3576,nan,nan,9.60
2,-704.4211,250.0,-0.015099,27915.123047,0.015016,27,8,4.0409,nan,nan,5.79
3,-599.0484,250.0,-0.015366,17477.218750,0.015090,24,8,3.4696,nan,nan,5.59
4,-510.7742,250.0,-0.009578,9813.600586,0.016589,9,8,2.9722,nan,nan,5.53
5,-501.3829,250.0,-0.009426,8981.167969,0.017902,8,8,2.8887,nan,nan,5.54
6,-570.4214,250.0,-0.009180,11790.353516,0.016853,9,8,3.3498,nan,nan,5.57
7,-541.8330,250.0,-0.025435,11522.030273,0.012525,80,8,3.2986,nan,nan,5.96
8,-491.2796,250.0,-0.006793,9212.218750,0.016295,9,8,3.2146,nan,nan,5.78
9,-506.3181,250.0,-0.007112,7005.685059,0.015086,6,8,3.1624,nan,nan,5.69
10,-462.2718,250.0,-0.007262,4750.882812,0.015411,5,8,2.8648,nan,nan,5.47
11,-451.9366,250.0,-0.007109,4425.091797,0.016244,6,8,2.8210,nan,nan,5.60
12,-406.0971,250.0,-0.008766,2456.372803,0.017339,7,8,2.4931,nan,nan,5.56
13,-384.5172,250.0,-0.009865,2307.047852,0.018782,7,8,2.3017,nan,nan,5.47
14,-379.2162,250.0,-0.004738,1994.240234,0.015835,6,8,2.3908,nan,nan,5.51
15,-304.3112,250.0,-0.016893,907.395264,0.015136,31,8,1.8339,nan,nan,5.69
16,-320.4653,250.0,-0.007824,1004.045471,0.015915,10,8,1.9838,nan,nan,5.49
17,-318.0664,250.0,-0.006888,1016.401855,0.015238,7,8,2.0042,nan,nan,5.58
18,-396.1002,250.0,-0.009292,2205.141357,0.015124,15,8,2.4809,nan,nan,5.65
19,-339.5379,250.0,-0.010199,1526.206787,0.015028,15,8,2.0572,nan,nan,5.60
20,-346.2231,250.0,-0.009379,1493.013306,0.015828,10,8,2.2580,nan,nan,5.89
21,-334.8348,250.0,-0.005331,1255.731079,0.017106,7,8,2.0345,nan,nan,5.91
22,-323.0132,250.0,-0.014608,970.312134,0.015182,23,8,2.0642,nan,nan,5.92
23,-331.6211,250.0,-0.005747,1108.758667,0.015067,8,8,2.1640,nan,nan,6.23
24,-305.9951,250.0,-0.008064,887.590088,0.016762,8,8,1.8995,nan,nan,5.96
25,-309.7239,250.0,-0.005213,946.088989,0.018662,7,8,2.0611,nan,nan,5.81
26,-266.9462,250.0,-0.005537,559.805847,0.017767,7,8,1.5500,nan,nan,5.88
27,-318.2274,250.0,-0.005700,924.791260,0.017460,7,8,2.1144,nan,nan,6.01
28,-285.1192,250.0,-0.020704,850.949341,0.015147,41,8,1.9929,nan,nan,6.08
29,-277.1330,250.0,-0.007164,647.601196,0.015453,9,8,1.8573,nan,nan,5.79
30,-306.2246,250.0,-0.013865,854.690674,0.015022,21,8,2.0033,nan,nan,6.08
31,-266.8372,250.0,-0.023171,607.455383,0.015108,49,8,1.7060,nan,nan,6.53
